Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Cream Calvin Klein XS SL Shirt,,2,,1,1,2,,,,,,,,,,,,,,,,,5/1/2020,22,Calvin Klein,Secondhand,,,shirt,short sleeve,cream/white/tan,,Tops
Orange and White Blockprint SL Shirt,1,,,,,,,,,,,,,,,,,,,,,,10/26/2020,35,Maelu Designs,Slow Fashion,,,shirt,sleeveless,orange,,Tops
Rust Linen SL Shirt,,1,1,1,1,2,1,2,1,,,,,,,,,,,,,,2/22/2020,35,notPerfectLinen,Secondhand,,,shirt,sleeveless,orange,,Tops
Blue Button-Up SL Shirt,1,,1,,1,1,,1,1,1,1,1,2,1,1,1,,3,1,2,,,2/28/2019,32,Tradlands/Online,Slow Fashion,,,shirt,sleeveless,blue,,Tops
Blue Dogs SL Shirt,1,,,1,1,2,1,1,1,1,2,,,,,,,,,,,,11/28/2019,0,Nooworks,Gift,,,shirt,sleeveless,blue,,Tops
Osei-Duro Black Pattern SL Shirt,2,1,3,2,2,2,3,3,2,1,3,1,4,1,,,,,,,,,9/12/2019,32,eBay,Secondhand,,20,shirt,sleeveless,grey,,Tops
Black Tunic SL Shirt,,1,2,,,,1,,1,,1,,,,,,,,1,,1,,1/1/2015,15,Nordstrom Rack,Fast Fashion,,,shirt,sleeveless,black,,Tops
Grey Star Wars Van Gogh SL Shirt,,,,1,,1,,,,,1,,,,,,,1,1,1,,,1/1/2017,20,Target,Fast Fashion,,,shirt,sleeveless,grey,,Tops
Black Spaghetti Strap SL Shirt,,1,,,,,,,,1,1,,,2,2,,1,,1,,1,,8/1/2018,0,Rachel,Hand-me-down,,,shirt,sleeveless,black,,Tops
Purple workout SL shirt ,1,1,1,1,,,,,,,,,,,,,,,,,,,12/2016,20,Nordstrom Rack,Fast Fashion,,,shirt,sleeveless,pink,,Tops
Black and Red Floral Sheer LS Shirt,,1,,,,,,,1,1,1,,,2,2,,1,,1,,1,1,8/1/2018,0,Rachel,Hand-me-down,,,shirt,long sleeve,,,Tops
Vintage Black Tunic LS Shirt,,,,,,,,,,1,,,,,,,,,,,,,12/26/2019,4,Goodwill,Secondhand,,,shirt,long sleeve,,,Tops
Yellow and White Striped MS Shirt,,,,,,,,,,,,1,1,1,1,1,1,,,1,,2,8/1/2017,20,Old Navy,Fast Fashion,,,shirt,mid sleeve,,,Tops
Blue FullSteam SS Shirt,,,,,,,,,,,,,1,,1,1,,1,,,1,,12/9/2018,25,In Brewery,Fast Fashion,,,shirt,short sleeve,,,Tops
Cream Calvin Klein SL Shirt,,2,,,,,,,,3,2,,8,1,1,1,1,2,2,4,,2,1/1/2018,48,Nordstrom Rack/eBay,Second one purchased 9/4/19,Second one purchased 9/4/19,,shirt,sleeveless,,,Tops
Maroon SL Shirt,,2,,,,,,,,1,4,2,1,,,2,2,2,,,1,1,1/1/2018,20,Target,Fast Fashion,,,shirt,sleeveless,,,Tops
Grey Heather Tunic SL Shirt,,,,,,,,,,1,1,1,1,,,,,,,,,,10/8/2019,0,Mom,Hand-me-down,,,shirt,sleeveless,,,Tops
Black Calvin Klein SL Shirt,1,1,,,,,,,,,2,1,1,1,,,,,,,,,9/14/2019,18,eBay,Secondhand,,,shirt,sleeveless,,,Tops
Curator Rust CL Skirt,,3,,1,1,3,1,1,,1,,,2,,2,5,,,,,,,7/18/2019,75,Instagram/Curator SF,Secondhand,,7,skirt,,,calf-length maxi,Bottoms
Black Midi CL Circle Skirt,,,,,,,1,3,,,1,2,,,,,,,,,,,11/12/2019,0,Elegantees ($50),Gift,,,skirt,,,calf-length maxi,Bottoms
Grey FL Maxi Skirt,1,1,,,,,2,,,1,,,,2,2,3,,,,1,2,,1/1/2014,30,Nordstrom Rack,Fast Fashion,,,skirt,,,full-length maxi,Bottoms
Pink and Tan Pattern Maxi Skirt,,,2,,,,,1,,1,,,,,,1,1,,,1,,,7/1/2018,0,Gift,Gift,,,skirt,,,full-length maxi,Bottoms
Light Black Skinny Leg Jeans,1,,,,3,7,2,12,19,1,,,,,,,,,,,,,1/29/20,140,Madewell,New,,,jeans,,,skinny leg,Bottoms
Black Everlane Skinny Leg Jeans,1,,,,,,3,3,5,5,11,5,6,4,,,1,,3,9,15,14,1/9/19,74,Everlane/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
Beige Pleated Pants,,1,,,,,,,,,,,,,,,,,,,,,9/19/2020,15,Vintage,Secondhand,,,pants,,,tapered leg,Bottoms
Blue Corduroy Pants ,,,,,,2,,1,5,2,,,,,,,,,,,,,1/29/2020,68,Madewell,New,,,pants,,,wide leg ,Bottoms
Blue Pleated Pants ,3,1,5,4,2,8,,,,,,,,,,,,,,,,,5/11/2020,95,Big Bud Press,Slow Fashion,,,pants,,,straight leg,Bottoms
Brown Paperbag Pants,,3,2,2,5,5,,,,,,,,,,,,,,,,,5/22/2020,77,Athleta,Slow Fashion,,,pants,,,tapered leg,Bottoms
Green Wide-leg Pants,,2,8,3,,,,,,,,3,2,5,,,,,,,,,9/20/2019,30,Poshmark ,Secondhand,,,pants,,,wide leg,Bottoms
Black Blockprint Wide-leg Pants,3,,,,,,,,,,,,,,,,,,,,,,10/22/2020,100,Matter Prints,Slow Fashion,,,pants,,,wide leg,Bottoms
Light Wash Straight Leg Jeans,8,2,3,5,9,,,,,,,,,,,,,,,,,,6/2/2020,175,Decade Studio,Slow Fashion,,,jeans,,,straight leg,Bottoms
Mom Jeans,,,,,,,,,,,,,,,,,,,,,,,11/5/2020,13,Madewell,Fair Trade,,,jeans,,,straight leg,Bottoms
Dark Wash Skinny Leg Jeans,,,,,,,,,,,,,,,,,,,,,,,8/1/2017,30,Old Navy/Online,Fast Fashion,,,jeans,,,skinny leg,Bottoms
Light Wash Skinny Leg Jeans,,,,1,,,,1,,2,1,,,,,,,,,,,,8/1/2017,30,Old Navy ,Fast Fashion,,,jeans,,,skinny leg,Bottoms
Black Girlfriend Leggings,4,3,2,,1,,2,,1,4,5,1,,,,,,1,3,1,2,3,1/1/2016,107,Online/Three pairs,Slow Fashion,,,leggings,,,exercise,Bottoms
Grey Mesh Reebok Leggings,,,,,,,1,,,,,1,,,,,,,,1,,,1/1/2017,15,Ross/Marshalls,Fast Fashion,,,leggings,,,exercise,Bottoms
Grey Athleta Leggings,,,,,,,,,,,,,,,,,,1,2,,,,1/1/2016,30,Athleta,Slow Fashion,,,leggings,,,exercise,Bottoms
Blue Pattern Niyama Sol Leggings,,,,,,,,,,,,,,,,,,,1,,,,1/1/2017,0,Niyama Sol,Gift,,,leggings,,,exercise,Bottoms
Black and Blue Adidas Leggings,,,,,,,,,,,1,,,,,,,1,1,,,,1/1/2017,20,Ross/Marshalls,Fast Fashion,,,leggings,,,exercise,Bottoms
