,Wardrobe Tracking - Start Date 12/9/2018,Wears (11/2020),Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Wears (2018),Total Wears,Acquired,Wears/Month,Cost,Brand,Source,Notes,Repairs/Tailoring,CPW,Category,Subcategory - Sleeves,Color,Today,Start Date,Subcategory - Length,Type
24,Cream Llama SS Shirt,,,,,1,1,,,1,,1,,,,,1,1,,,,,,,,6,8/1/2018,0.26,20,Target,,,,$3.33,shirt,short sleeve,cream/white/tan,11/11/2020,12/9/2018,,Tops
25,Grey SS Shirt,,1,,1,2,3,,,1,2,2,2,3,1,,,,,,,,,,,18,10/23/2019,1.5,20,Tradlands/Online,Slow Fashion,,,$1.11,shirt,short sleeve,grey,11/11/2020,12/9/2018,,Tops
26,Green Square Top SS Shirt,1,,,,5,,2,1,1,2,1,1,2,2,1,1,2,2,,,2,3,2,,31,1/9/2019,1.41,14,Everlane/Online,,,,$0.45,shirt,short sleeve,green,11/11/2020,12/9/2018,,Tops
27,Hot dog SS Shirt ,,,,,1,,,,,,,,,,,,,,,,,,,,1,1/9/2009,0.04,30,Woot!,,,,$30.00,shirt,short sleeve,red,11/11/2020,12/9/2018,,Tops
28,Purple Cropped SS Shirt,1,,1,,,,,,,,,,,,,,,,,,,,,,2,9/24/2020,2.0,40,Athleta,Slow Fashion,,,$20.00,shirt,short sleeve,purple,11/11/2020,12/9/2018,,Tops
29,Cream Calvin Klein XS SL Shirt,1,,2,,1,1,2,,,,,,,,,,,,,,,,,,7,5/1/2020,1.17,22,Calvin Klein,Secondhand,,,$3.14,shirt,short sleeve,cream/white/tan,11/11/2020,12/9/2018,,Tops
30,Orange and White Blockprint SL Shirt,1,1,,,,,,,,,,,,,,,,,,,,,,,2,10/26/2020,1.0,35,Maelu Designs,Slow Fashion,,,$17.50,shirt,sleeveless,orange,11/11/2020,12/9/2018,,Tops
31,Rust Linen SL Shirt,,,1,1,1,1,2,1,2,1,,,,,,,,,,,,,,,10,2/22/2020,1.25,35,notPerfectLinen,Secondhand,,,$3.50,shirt,sleeveless,orange,11/11/2020,12/9/2018,,Tops
32,Blue Button-Up SL Shirt,,1,,1,,1,1,,1,1,1,1,1,2,1,1,1,,3,1,2,,,,20,2/28/2019,1.0,32,Tradlands/Online,Slow Fashion,,,$1.60,shirt,sleeveless,blue,11/11/2020,12/9/2018,,Tops
33,Blue Dogs SL Shirt,,1,,,1,1,2,1,1,1,1,2,,,,,,,,,,,,,11,11/28/2019,1.0,0,Nooworks,Gift,,,$0.00,shirt,sleeveless,blue,11/11/2020,12/9/2018,,Tops
34,Osei-Duro Black Pattern SL Shirt,,2,1,3,2,2,2,3,3,2,1,3,1,4,1,,,,,,,,,,30,9/12/2019,2.31,32,eBay,Secondhand,,20,$1.73,shirt,sleeveless,grey,11/11/2020,12/9/2018,,Tops
35,Black Tunic SL Shirt,,,1,2,,,,1,,1,,1,,,,,,,,1,,1,,,8,1/1/2015,0.35,15,Nordstrom Rack,,,,$1.88,shirt,sleeveless,black,11/11/2020,12/9/2018,,Tops
36,Grey Star Wars Van Gogh SL Shirt,,,,,1,,1,,,,,1,,,,,,,1,1,1,,,,6,1/1/2017,0.26,20,Target,,,,$3.33,shirt,sleeveless,grey,11/11/2020,12/9/2018,,Tops
37,Black Spaghetti Strap SL Shirt,,,1,,,,,,,,1,1,,,2,2,,1,,1,,1,,,10,8/1/2018,0.43,0,Rachel,Hand-me-down,,,$0.00,shirt,sleeveless,black,11/11/2020,12/9/2018,,Tops
38,Purple workout SL shirt ,,1,1,1,1,,,,,,,,,,,,,,,,,,,,4,12/2016,0.17,20,Nordstrom Rack,,,,$5.00,shirt,sleeveless,pink,11/11/2020,12/9/2018,,Tops
39,Black and Red Floral Sheer LS Shirt,,,1,,,,,STORAGE,STORAGE,1,1,1,,,2,2,,1,,1,,1,1,,12,8/1/2018,0.52,0,Rachel,Hand-me-down,,,$0.00,shirt,long sleeve,,11/11/2020,12/9/2018,,Tops
40,Vintage Black Tunic LS Shirt,,,,,,,,STORAGE,,,1,,,,,,,,,,,,,,1,12/26/2019,0.1,4,Goodwill,Secondhand,,,$4.00,shirt,long sleeve,,11/11/2020,12/9/2018,,Tops
41,Yellow and White Striped MS Shirt,,,,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,STORAGE,1,1,1,1,1,1,,,1,,2,1,10,8/1/2017,0.43,20,Old Navy,,,,$2.00,shirt,mid sleeve,,11/11/2020,12/9/2018,,Tops
42,Blue FullSteam SS Shirt,1,,,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,,,1,,1,1,,1,,,1,,1,7,12/9/2018,0.3,25,In Brewery,,,,$3.57,shirt,short sleeve,,11/11/2020,12/9/2018,,Tops
43,Cream Calvin Klein SL Shirt,,,2,,,,,STORAGE,STORAGE ,STORAGE,3,2,,8,1,1,1,1,2,2,4,,2,2,31,1/1/2018,1.35,48,Nordstrom Rack/eBay,Second one purchased 9/4/19,Second one purchased 9/4/19,,$1.53,shirt,sleeveless,,11/11/2020,12/9/2018,,Tops
44,Maroon SL Shirt,,,2,,,,,STORAGE,STORAGE ,STORAGE,1,4,2,1,,,2,2,2,,,1,1,,18,1/1/2018,0.78,20,Target,,,,$1.11,shirt,sleeveless,,11/11/2020,12/9/2018,,Tops
45,Grey Heather Tunic SL Shirt,,,,,,,,STORAGE,STORAGE ,STORAGE,1,1,1,1,,,,,,,,,,,4,10/8/2019,0.31,0,Mom,Hand-me-down,,,$0.00,shirt,sleeveless,,11/11/2020,12/9/2018,,Tops
46,Black Calvin Klein SL Shirt,,1,1,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,2,1,1,1,,,,,,,,,,7,9/14/2019,0.54,18,eBay,Secondhand,,,$2.50,shirt,sleeveless,,11/11/2020,12/9/2018,,Tops
