Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Black Skinny Leg Jeans,42.0,0.5952380952380952,1.8834080717488788,2018-10-01,25,Fast Fashion,0.0,,Bottoms,jeans,,skinny leg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,7.0,6.0,6.0,4.0,1.0,2.0,1.0,5.0,2.0
Black Ponte Stretch Pants,31.0,1.6129032258064515,1.4069591527987897,2019-01-09,50,Slow fashion,0.0,,Bottoms,pants,,skinny leg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,1.0,2.0,5.0,5.0,2.0,2.0
Denim Straight Leg Jeans,27.0,1.0,2.066326530612245,2019-10-05,27,Fast Fashion,0.0,,Bottoms,jeans,,straight leg,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denim Skinny Leg Jeans,31.0,0.0,1.390134529147982,2018-08-01,0,Secondhand,0.0,,Bottoms,jeans,,skinny leg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,7.0,2.0,0.0,5.0,2.0,5.0,0.0,0.0
Purple Suede Pants,1.0,4.0,0.36585365853658536,2020-08-10,4,Secondhand,0.0,,Bottoms,pants,,straight leg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Suede Pants,12.0,0.3333333333333333,1.1501597444089458,2019-12-23,4,Secondhand,0.0,,Bottoms,pants,,straight leg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Silk Pants,6.0,0.6666666666666666,0.5750798722044729,2019-12-23,4,Secondhand,0.0,,Bottoms,pants,,wide leg,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange Shorts,4.0,6.25,0.17937219730941703,2017-01-01,25,Fast Fashion,0.0,,Bottoms,shorts,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Green Old Navy Shorts,1.0,20.0,0.04484304932735426,2015-01-01,20,Fast Fashion,0.0,,Bottoms,shorts,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Pullover Sweater,5.0,0.0,0.22421524663677128,2017-12-01,0,Hand-me-down,0.0,,Outerwear,sweater,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Beige Cable Knit Sweater,2.0,5.0,6.666666666666667,2020-10-22,10,Secondhand,0.0,,Outerwear,sweater,long sleeve,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream Knit Crop Sweater,11.0,0.9090909090909091,0.49327354260089684,2014-12-01,10,Fast Fashion,0.0,,Outerwear,sweater,long sleeve,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Purple and Orange Mockneck Sweater,5.0,2.0,16.666666666666668,2020-10-22,10,Secondhand,0.0,,Outerwear,sweater,long sleeve,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream Cardigan,20.0,1.95,1.7751479289940828,2019-11-28,39,Slow Fashion,0.0,,Outerwear,cardigan,long sleeve,,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pink and Red Reversible Haori,7.0,10.714285714285714,1.6535433070866141,2020-06-26,75,Slow Fashion,0.0,,Outerwear,cardigan,mid sleeve,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey Cardigan,32.0,1.3125,2.6016260162601625,2019-10-28,42,Secondhand,0.0,,Outerwear,cardigan,long sleeve,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,2.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey Heather Blazer Sweater,18.0,0.0,0.8071748878923767,2016-05-14,0,Gift,0.0,,Outerwear,sweater,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
Tapestry Jacket,3.0,5.333333333333333,1.5789473684210527,2020-09-04,16,Secondhand,0.0,,Outerwear,coat/jacket,long sleeve,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Blazer,15.0,6.866666666666666,1.3595166163141994,2019-12-05,103,Slow Fashion,0.0,,Outerwear,blazer,long sleeve,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Pleather and Mesh Blazer,1.0,3.0,0.36585365853658536,2020-08-10,3,Secondhand,0.0,,Outerwear,blazer,long sleeve,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Quilted Blazer,5.0,0.0,0.48701298701298695,2019-12-28,0,Secondhand,0.0,,Outerwear,blazer,long sleeve,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Striped Waterfall Blazer,2.0,10.0,0.8955223880597015,2020-08-25,20,Second,0.0,,Outerwear,blazer,long sleeve,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Blazer,4.0,12.5,0.17937219730941703,2017-07-01,50,Fast Fashion,0.0,,Outerwear,blazer,mid sleeve,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Black Blazer Sweater,59.0,0.7288135593220338,2.6457399103139014,2018-12-23,43,Fast Fashion,0.0,,Outerwear,sweater,mid sleeve,,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,2.0,3.0,1.0,2.0,5.0,8.0,2.0,2.0,0.0,0.0,6.0,11.0,6.0,3.0
Grey Oversized Poncho Sweater,14.0,1.0714285714285714,0.6278026905829596,2016-01-01,15,Fast Fashion,0.0,,Outerwear,sweater,mid sleeve,,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Grey Cashmere Crop Sweater,14.0,0.0,0.6278026905829596,2018-08-01,0,Hand-me-down,0.0,,Outerwear,sweater,mid sleeve,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Black Striped Osei-Duro Coat,48.0,1.2083333333333333,3.902439024390244,2019-10-28,58,Secondhand,0.0,,Outerwear,coat/jacket,long sleeve,,3.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,5.0,7.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Silky Coat,6.0,1.8333333333333333,0.5750798722044729,2019-12-23,11,Secondhand,0.0,,Outerwear,coat/jacket,long sleeve,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Trenchcoat,6.0,1.8333333333333333,0.5750798722044729,2019-12-23,11,Secondhand,0.0,,Outerwear,coat/jacket,long sleeve,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black London Fog Coat,81.0,0.8641975308641975,3.632286995515695,2018-02-01,70,Fast Fashion,0.0,,Outerwear,coat/jacket,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,20.0,14.0
Grey Puffer Coat,46.0,1.5217391304347827,2.0627802690582957,2018-02-01,70,Fast Fashion,0.0,,Outerwear,coat/jacket,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0
Peru Alpaca Sweater,0.0,0.0,0.0,2019-12-27,0,Secondhand,0.0,,Outerwear,sweater,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugly Christmas Sweater,1.0,20.0,0.04484304932735426,2018-12-01,20,Fast Fashion,0.0,,Outerwear,sweater,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Leather Jacket,4.0,7.5,0.17937219730941703,2014-01-01,30,Secondhand,0.0,,Outerwear,coat/jacket,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Red Hilfiger Coat,4.0,12.5,0.17937219730941703,2013-01-01,50,Fast Fashion,0.0,,Outerwear,coat/jacket,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Black Leather Open-Toed Sandals,13.0,1.3846153846153846,0.9948979591836735,2019-10-05,18,Fast Fashion,0.0,,Shoes,sandals,,,1.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Leather Trevi Flats,14.0,7.714285714285714,1.875,2020-03-21,108,Slow Fashion,0.0,,Shoes,flats,,,0.0,1.0,3.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Leather Iris Loafers,22.0,4.2727272727272725,2.946428571428571,2020-03-21,94,Slow Fashion,0.0,,Shoes,flats,,,0.0,1.0,3.0,2.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Leather Sneakers,53.0,1.9811320754716981,4.097938144329897,2019-10-09,105,Slow Fashion,0.0,,Shoes,sneakers,,,2.0,3.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,8.0,8.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White Tennis Sneakers,37.0,3.2432432432432434,4.319066147859922,2020-02-17,120,Slow Fashion,0.0,,Shoes,sneakers,,,1.0,1.0,3.0,5.0,1.0,12.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Leather Chukka Boots,54.0,2.037037037037037,3.5448577680525166,2019-08-01,110,Slow Fashion,0.0,,Shoes,boots,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,3.0,8.0,14.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Lace-up Boots,22.0,9.0,2.1568627450980395,2019-12-30,198,Slow Fashion,0.0,,Shoes,boots,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Leather Combat Boots,80.0,2.175,3.5874439461883405,2015-01-01,80,Fast Fashion,94.0,,Shoes,boots,,,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,7.0,9.0,7.0,10.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,16.0
Brown Leather Hiking Boots,45.0,2.488888888888889,4.041916167664671,2019-12-02,112,Slow Fashion,0.0,,Shoes,boots,,,5.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,13.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brown Leather Combat Boots,33.0,2.4242424242424243,1.4798206278026906,2015-01-01,80,Fast Fashion,0.0,,Shoes,boots,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0
Blush Suede Flats,1.0,30.0,0.04484304932735426,2018-01-01,30,Fast Fashion,0.0,,Shoes,flats,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey Suede Wedge Heels,4.0,12.5,0.17937219730941703,2018-01-01,50,Fast Fashion,0.0,,Shoes,heels,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Brown Leather Oxford Heels,1.0,0.0,0.04484304932735426,2015-01-01,0,Gift,0.0,,Shoes,heels,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Black Suede Wedge Heels (Toms),7.0,10.0,0.3139013452914798,2015-01-01,70,Fast Fashion,0.0,,Shoes,heels,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Black Knee High Heeled Boots,2.0,50.0,0.08968609865470852,2014-01-01,100,Fast Fashion,0.0,,Shoes,boots,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Black Tennis Shoes,6.0,9.833333333333334,0.5278592375366569,2019-11-25,59,Fast Fashion,0.0,,Shoes,sneakers,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Suede Knee High Boots,5.0,16.0,0.22421524663677128,2014-01-01,80,Fast Fashion,0.0,,Shoes,boots,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Leather Sandals,76.0,0.6578947368421053,3.408071748878924,2018-05-01,50,Fast Fashion,0.0,,Shoes,sandals,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,9.0,8.0,11.0,16.0,10.0,3.0,5.0,1.0
Brown Clarks Flipflops,3.0,16.666666666666668,0.13452914798206278,2013-01-01,50,Fast Fashion,0.0,,Shoes,sandals,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Balance Sneakers,3.0,16.666666666666668,0.13452914798206278,2018-01-01,50,Fast Fashion,0.0,,Shoes,sneakers,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Vibrams Toe Shoes,3.0,16.666666666666668,0.13452914798206278,2018-12-09,50,Fast Fashion,0.0,,Shoes,sneakers,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
