Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Black Crewneck SS Shirt,16.0,0.0,1.3872832369942196,2019-11-20,0,Gift,0.0,black,Tops,shirt,short sleeve,,1.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Navy Crewneck SS Shirt,17.0,0.0,1.4739884393063585,2019-11-20,0,Gift,0.0,blue,Tops,shirt,short sleeve,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White and Blue Striped Button-Up SS Shirt,17.0,0.0,0.7623318385650224,2018-12-09,0,Hand-me-down,0.0,cream/white/tan,Tops,shirt,short sleeve,,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0
Mustard Polka Dot SS Shirt,13.0,0.0,1.2460063897763578,2019-12-23,0,Hand-me-down,0.0,yellow,Tops,shirt,short sleeve,,2.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustard Tie SS Shirt,2.0,2.0,0.7317073170731707,2020-08-10,4,Hand-me-down,0.0,yellow,Tops,shirt,short sleeve,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red and White Stripe SS Shirt,3.0,1.3333333333333333,1.0975609756097562,2020-08-10,4,Hand-me-down,0.0,red,Tops,shirt,short sleeve,,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream Llama SS Shirt,6.0,3.3333333333333335,0.26905829596412556,2018-08-01,20,Fast Fashion,0.0,cream/white/tan,Tops,shirt,short sleeve,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey SS Shirt,18.0,1.1111111111111112,1.4438502673796791,2019-10-23,20,Slow Fashion,0.0,grey,Tops,shirt,short sleeve,,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Square Top SS Shirt,30.0,0.4666666666666667,1.361573373676248,2019-01-09,14,Fast Fashion,0.0,green,Tops,shirt,short sleeve,,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0
Hot dog SS Shirt,1.0,30.0,0.04484304932735426,2009-01-09,30,Fast Fashion,0.0,red,Tops,shirt,short sleeve,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purple Cropped SS Shirt,1.0,40.0,0.8108108108108107,2020-09-24,40,Slow Fashion,0.0,purple,Tops,shirt,short sleeve,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream Calvin Klein XS SL Shirt,6.0,3.6666666666666665,0.9836065573770493,2020-05-01,22,Secondhand,0.0,cream/white/tan,Tops,shirt,short sleeve,,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange and White Blockprint SL Shirt,1.0,35.0,6.0,2020-10-26,35,Slow Fashion,0.0,orange,Tops,shirt,sleeveless,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rust Linen SL Shirt,10.0,3.5,1.1904761904761905,2020-02-22,35,Secondhand,0.0,orange,Tops,shirt,sleeveless,,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue Button-Up SL Shirt,20.0,1.6,0.9819967266775778,2019-02-28,32,Slow Fashion,0.0,blue,Tops,shirt,sleeveless,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0
Blue Dogs SL Shirt,11.0,0.0,0.9763313609467454,2019-11-28,0,Gift,0.0,blue,Tops,shirt,sleeveless,,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Osei-Duro Black Pattern SL Shirt,30.0,1.7333333333333334,2.1686746987951806,2019-09-12,32,Secondhand,20.0,grey,Tops,shirt,sleeveless,,2.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Tunic SL Shirt,8.0,1.875,0.35874439461883406,2015-01-01,15,Fast Fashion,0.0,black,Tops,shirt,sleeveless,,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Grey Star Wars Van Gogh SL Shirt,6.0,3.3333333333333335,0.26905829596412556,2017-01-01,20,Fast Fashion,0.0,grey,Tops,shirt,sleeveless,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Black Spaghetti Strap SL Shirt,10.0,0.0,0.44843049327354256,2018-08-01,0,Hand-me-down,0.0,black,Tops,shirt,sleeveless,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Purple workout SL shirt,4.0,5.0,0.17937219730941703,2016-12-01,20,Fast Fashion,0.0,pink,Tops,shirt,sleeveless,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black and Red Floral Sheer LS Shirt,12.0,0.0,0.5381165919282511,2018-08-01,0,Hand-me-down,0.0,,Tops,shirt,long sleeve,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Vintage Black Tunic LS Shirt,1.0,4.0,0.0967741935483871,2019-12-26,4,Secondhand,0.0,,Tops,shirt,long sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yellow and White Striped MS Shirt,9.0,2.2222222222222223,0.40358744394618834,2017-08-01,20,Fast Fashion,0.0,,Tops,shirt,mid sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
Blue FullSteam SS Shirt,5.0,5.0,0.22421524663677128,2018-12-09,25,Fast Fashion,0.0,,Tops,shirt,short sleeve,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Cream Calvin Klein SL Shirt,29.0,1.6551724137931034,1.3004484304932735,2018-01-01,48,Second one purchased 9/4/19,0.0,,Tops,shirt,sleeveless,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,2.0
Maroon SL Shirt,18.0,1.1111111111111112,0.8071748878923767,2018-01-01,20,Fast Fashion,0.0,,Tops,shirt,sleeveless,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0
Grey Heather Tunic SL Shirt,4.0,0.0,0.30848329048843187,2019-10-08,0,Hand-me-down,0.0,,Tops,shirt,sleeveless,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Calvin Klein SL Shirt,7.0,2.5714285714285716,0.5084745762711864,2019-09-14,18,Secondhand,0.0,,Tops,shirt,sleeveless,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curator Rust CL Skirt,20.0,4.1,1.2738853503184715,2019-07-18,75,Secondhand,7.0,,Bottoms,skirt,,calf-length maxi,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Black Midi CL Circle Skirt,7.0,0.0,0.5932203389830508,2019-11-12,0,Gift,0.0,,Bottoms,skirt,,calf-length maxi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey FL Maxi Skirt,15.0,2.0,0.6726457399103138,2014-01-01,30,Fast Fashion,0.0,,Bottoms,skirt,,full-length maxi,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0
Pink and Tan Pattern Maxi Skirt,7.0,0.0,0.3139013452914798,2018-07-01,0,Gift,0.0,,Bottoms,skirt,,full-length maxi,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
