Unnamed: 0,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Brand,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
10,Black Oversized UCF LS Shirt,,,,,,,,,,2,3,1,,,1.0,,,,,2.0,1.0,1.0,1/1/2017,40,Online,Fast Fashion,,,shirt,long sleeve,black,,Tops
11,Black/Brown Striped Mockneck MS Shirt,1.0,,1.0,,,1.0,,2,3,,,,,,,,,,,,,,2/8/2020,90,Iridium Apparel,Slow Fashion,Indio,,shirt,long sleeve,black,,Tops
12,Blush Madewell MS Shirt,1.0,,1.0,1,1,1.0,,,,,,,,1.0,,,,,2.0,2.0,,1.0,11/1/2018,35,Madewell/Online,Fast Fashion,,,shirt,mid sleeve,pink,,Tops
13,Green MS Shirt,1.0,,1.0,,,,,1,2,1,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1/1/2015,20,Ross/Marshalls,Fast Fashion,,,shirt,mid sleeve,green,,Tops
14,Black MS Shirt,1.0,1.0,1.0,2,1,2.0,1,1,1,3,1,4,2,2.0,,,,,,,,,9/8/2019,30,Everlane,Fast Fashion,,,shirt,mid sleeve,black,,Tops
15,Black Cuyana MS Shirt ,1.0,1.0,,1,2,1.0,,2,2,4,1,,,,,,,,,,,,12/24/2019,0,Cuyana,Gift,,,shirt,mid sleeve,black,,Tops
16,Black Cutout MS Shirt,,,,,,,1,2,1,1,,,,,,,,,,,,,12/23/2019,0,Mom,Hand-me-down,,,shirt,mid sleeve,black,,Tops
17,White Pocket SS Shirt,,1.0,,,,,,,,,,,,,,,,,,,,,9/1/2020,22,Pamut Apparel,Slow Fashion,,,shirt,short sleeve,white,,Tops
18,Black Crewneck SS Shirt,1.0,1.0,1.0,3,3,2.0,,,,1,2,2,,,,,,,,,,,11/20/2019,0,Cuyana ,Gift,,,shirt ,short sleeve ,black,,Tops
19,Navy Crewneck SS Shirt,1.0,3.0,1.0,1,1,2.0,1,,2,1,2,2,,,,,,,,,,,11/20/2019,0,Cuyana,Gift,,,shirt,short sleeve ,blue,,Tops
20,White and Blue Striped Button-Up SS Shirt,,,1.0,,2,2.0,,1,,2,1,,,,1.0,2.0,,,,3.0,1.0,1.0,12/9/2018,0,Rachel,Hand-me-down,,,shirt,short sleeve,cream/white/tan,,Tops
21,Mustard Polka Dot SS Shirt,2.0,,2.0,2,1,3.0,,,1,2,,,,,,,,,,,,,12/23/2019,0,Mom,Hand-me-down,,,shirt,short sleeve,yellow,,Tops
22,Mustard Tie SS Shirt,,2.0,,,,,,,,,,,,,,,,,,,,,8/10/2020,4,Rachel,Hand-me-down,,,shirt,short sleeve,yellow,,Tops
23,Red and White Stripe SS Shirt,,1.0,2.0,,,,,,,,,,,,,,,,,,,,8/10/2020,4,Rachel,Hand-me-down,,,shirt,short sleeve,red,,Tops
24,Cream Llama SS Shirt,,,,1,1,,,1,,1,,,,,1.0,1.0,,,,,,,8/1/2018,20,Target,Fast Fashion,,,shirt,short sleeve,cream/white/tan,,Tops
25,Grey SS Shirt,1.0,,1.0,2,3,,,1,2,2,2,3,1,,,,,,,,,,10/23/2019,20,Tradlands/Online,Slow Fashion,,,shirt,short sleeve,grey,,Tops
26,Green Square Top SS Shirt,,,,5,,2.0,1,1,2,1,1,2,2,1.0,1.0,2.0,2.0,,,2.0,3.0,2.0,1/9/2019,14,Everlane/Online,Fast Fashion,,,shirt,short sleeve,green,,Tops
27,Hot dog SS Shirt ,,,,1,,,,,,,,,,,,,,,,,,,1/9/2009,30,Woot!,Fast Fashion,,,shirt,short sleeve,red,,Tops
28,Purple Cropped SS Shirt,,1.0,,,,,,,,,,,,,,,,,,,,,9/24/2020,40,Athleta,Slow Fashion,,,shirt,short sleeve,purple,,Tops
29,Cream Calvin Klein XS SL Shirt,,2.0,,1,1,2.0,,,,,,,,,,,,,,,,,5/1/2020,22,Calvin Klein,Secondhand,,,shirt,short sleeve,cream/white/tan,,Tops
30,Orange and White Blockprint SL Shirt,1.0,,,,,,,,,,,,,,,,,,,,,,10/26/2020,35,Maelu Designs,Slow Fashion,,,shirt,sleeveless,orange,,Tops
31,Rust Linen SL Shirt,,1.0,1.0,1,1,2.0,1,2,1,,,,,,,,,,,,,,2/22/2020,35,notPerfectLinen,Secondhand,,,shirt,sleeveless,orange,,Tops
32,Blue Button-Up SL Shirt,1.0,,1.0,,1,1.0,,1,1,1,1,1,2,1.0,1.0,1.0,,3.0,1.0,2.0,,,2/28/2019,32,Tradlands/Online,Slow Fashion,,,shirt,sleeveless,blue,,Tops
33,Blue Dogs SL Shirt,1.0,,,1,1,2.0,1,1,1,1,2,,,,,,,,,,,,11/28/2019,0,Nooworks,Gift,,,shirt,sleeveless,blue,,Tops
