Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
Grey SS Shirt,1,0,1,2,3,0,0,1,2,2,2,3,1,0,0,0,0,0,0,0,0,0,10/23/2019,20,Tradlands/Online,Slow Fashion,0,shirt,short sleeve,grey,,Tops
Green Square Top SS Shirt,0,0,0,5,0,2,1,1,2,1,1,2,2,1,1,2,2,0,0,2,3,2,1/9/2019,14,Everlane/Online,0,0,shirt,short sleeve,green,,Tops
Hot dog SS Shirt ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/9/2009,30,Woot!,0,0,shirt,short sleeve,red,,Tops
Purple Cropped SS Shirt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/24/2020,40,Athleta,Slow Fashion,0,shirt,short sleeve,purple,,Tops
Cream Calvin Klein XS SL Shirt,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/1/2020,22,Calvin Klein,Secondhand,0,shirt,short sleeve,cream/white/tan,,Tops
Orange and White Blockprint SL Shirt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/26/2020,35,Maelu Designs,Slow Fashion,0,shirt,sleeveless,orange,,Tops
Rust Linen SL Shirt,0,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/2020,35,notPerfectLinen,Secondhand,0,shirt,sleeveless,orange,,Tops
Blue Button-Up SL Shirt,1,0,1,0,1,1,0,1,1,1,1,1,2,1,1,1,0,3,1,2,0,0,2/28/2019,32,Tradlands/Online,Slow Fashion,0,shirt,sleeveless,blue,,Tops
Blue Dogs SL Shirt,1,0,0,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,11/28/2019,0,Nooworks,Gift,0,shirt,sleeveless,blue,,Tops
Osei-Duro Black Pattern SL Shirt,2,1,3,2,2,2,3,3,2,1,3,1,4,1,0,0,0,0,0,0,0,0,9/12/2019,32,eBay,Secondhand,20,shirt,sleeveless,grey,,Tops
