Item,Total Wears,Cost per Wear,Wears per Month,Date Acquired,Cost,Source,Repairs/Tailoring,Color,Type,Category,Subcategory - Sleeves,Subcategory - Length,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019)
Green Square Top SS Shirt,30,0.4666666666666667,1.3392857142857144,2019-01-09,14,0,0,green,Tops,shirt,short sleeve,,0,0,0,5,0,2,1,1,2,1,1,2,2,1,1,2,2,0,0,2,3,2
Hot dog SS Shirt ,1,30.0,0.006938020351526365,2009-01-09,30,0,0,red,Tops,shirt,short sleeve,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purple Cropped SS Shirt,1,40.0,0.625,2020-09-24,40,Slow Fashion,0,purple,Tops,shirt,short sleeve,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cream Calvin Klein XS SL Shirt,6,3.6666666666666665,0.9278350515463918,2020-05-01,22,Secondhand,0,cream/white/tan,Tops,shirt,short sleeve,,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange and White Blockprint SL Shirt,1,35.0,1.875,2020-10-26,35,Slow Fashion,0,orange,Tops,shirt,sleeveless,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rust Linen SL Shirt,10,3.5,1.1406844106463878,2020-02-22,35,Secondhand,0,orange,Tops,shirt,sleeveless,,0,1,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Button-Up SL Shirt,20,1.6,0.9646302250803858,2019-02-28,32,Slow Fashion,0,blue,Tops,shirt,sleeveless,,1,0,1,0,1,1,0,1,1,1,1,1,2,1,1,1,0,3,1,2,0,0
Blue Dogs SL Shirt,11,0.0,0.9455587392550143,2019-11-28,0,Gift,0,blue,Tops,shirt,sleeveless,,1,0,0,1,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
Osei-Duro Black Pattern SL Shirt,30,1.7333333333333334,2.1126760563380285,2019-09-12,32,Secondhand,20,grey,Tops,shirt,sleeveless,,2,1,3,2,2,2,3,3,2,1,3,1,4,1,0,0,0,0,0,0,0,0
Black Tunic SL Shirt,8,1.875,0.11209715086408222,2015-01-01,15,0,0,black,Tops,shirt,sleeveless,,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
Grey Star Wars Van Gogh SL Shirt,6,3.3333333333333335,0.1276595744680851,2017-01-01,20,0,0,grey,Tops,shirt,sleeveless,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
Black Spaghetti Strap SL Shirt,10,0.0,0.36014405762304924,2018-08-01,0,Hand-me-down,0,black,Tops,shirt,sleeveless,,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,1,0,1,0
Purple workout SL shirt ,4,5.0,0.08327550312283137,2016-12-01,20,0,0,pink,Tops,shirt,sleeveless,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black and Red Floral Sheer LS Shirt,12,0.0,0.43217286914765907,2018-08-01,0,Hand-me-down,0,0,Tops,shirt,long sleeve,,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,0,1,0,1,0,1,1
Vintage Black Tunic LS Shirt,1,4.0,0.09345794392523366,2019-12-26,4,Secondhand,0,0,Tops,shirt,long sleeve,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yellow and White Striped MS Shirt,9,2.2222222222222223,0.2253756260434057,2017-08-01,20,0,0,0,Tops,shirt,mid sleeve,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,2
Blue FullSteam SS Shirt,5,5.0,0.21337126600284495,2018-12-09,25,0,0,0,Tops,shirt,short sleeve,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
Cream Calvin Klein SL Shirt,29,1.6551724137931034,0.832535885167464,2018-01-01,48,Second one purchased 9/4/19,0,0,Tops,shirt,sleeveless,,0,2,0,0,0,0,0,0,0,3,2,0,8,1,1,1,1,2,2,4,0,2
Maroon SL Shirt,18,1.1111111111111112,0.5167464114832535,2018-01-01,20,0,0,0,Tops,shirt,sleeveless,,0,2,0,0,0,0,0,0,0,1,4,2,1,0,0,2,2,2,0,0,1,1
Grey Heather Tunic SL Shirt,4,0.0,0.3,2019-10-08,0,Hand-me-down,0,0,Tops,shirt,sleeveless,,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Black Calvin Klein SL Shirt,7,2.5714285714285716,0.49528301886792453,2019-09-14,18,Secondhand,0,0,Tops,shirt,sleeveless,,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0
Curator Rust CL Skirt,20,4.1,1.2448132780082988,2019-07-18,75,Secondhand,7,,Bottoms,skirt,,calf-length maxi,0,3,0,1,1,3,1,1,0,1,0,0,2,0,2,5,0,0,0,0,0,0
Black Midi CL Circle Skirt,7,0.0,0.5753424657534247,2019-11-12,0,Gift,0,,Bottoms,skirt,,calf-length maxi,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Grey FL Maxi Skirt,15,2.0,0.17956903431763768,2014-01-01,30,0,0,,Bottoms,skirt,,full-length maxi,1,1,0,0,0,0,2,0,0,1,0,0,0,2,2,3,0,0,0,1,2,0
Pink and Tan Pattern Maxi Skirt,7,0.0,0.24305555555555555,2018-07-01,0,Gift,0,,Bottoms,skirt,,full-length maxi,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
Light Black Skinny Leg Jeans,45,3.111111111111111,4.70383275261324,2020-01-29,140,New,0,,Bottoms,jeans,,skinny leg,1,0,0,0,3,7,2,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Everlane Skinny Leg Jeans,85,0.8705882352941177,3.794642857142857,2019-01-09,74,0,0,,Bottoms,jeans,,skinny leg,1,0,0,0,0,0,3,3,5,5,11,5,6,4,0,0,1,0,3,9,15,14
Beige Pleated Pants,1,15.0,0.5660377358490566,2020-09-19,15,Secondhand,0,,Bottoms,pants,,tapered leg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Corduroy Pants ,10,6.8,1.0452961672473868,2020-01-29,68,New,0,,Bottoms,pants,,wide leg ,0,0,0,0,0,2,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Blue Pleated Pants ,23,4.130434782608695,3.7499999999999996,2020-05-11,95,Slow Fashion,0,,Bottoms,pants,,straight leg,3,1,5,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown Paperbag Pants,17,4.529411764705882,2.947976878612717,2020-05-22,77,Slow Fashion,0,,Bottoms,pants,,tapered leg,0,3,2,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Wide-leg Pants,23,1.3043478260869565,1.6507177033492824,2019-09-20,30,Secondhand,0,,Bottoms,pants,,wide leg,0,2,8,3,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0
Black Blockprint Wide-leg Pants,3,33.333333333333336,4.5,2020-10-22,100,Slow Fashion,0,,Bottoms,pants,,wide leg,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Wash Straight Leg Jeans,27,6.481481481481482,5.0,2020-06-02,175,Slow Fashion,0,,Bottoms,jeans,,straight leg,8,2,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mom Jeans,0,inf,0.0,2020-11-05,13,Fair Trade,0,,Bottoms,jeans,,straight leg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dark Wash Skinny Leg Jeans,0,inf,0.0,2017-08-01,30,0,0,,Bottoms,jeans,,skinny leg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light Wash Skinny Leg Jeans,5,6.0,0.12520868113522537,2017-08-01,30,0,0,,Bottoms,jeans,,skinny leg,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Black Girlfriend Leggings,33,3.242424242424242,0.5574324324324325,2016-01-01,107,Slow Fashion,0,,Bottoms,leggings,,exercise,4,3,2,0,1,0,2,0,1,4,5,1,0,0,0,0,0,1,3,1,2,3
Grey Mesh Reebok Leggings,3,5.0,0.06382978723404255,2017-01-01,15,0,0,,Bottoms,leggings,,exercise,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Grey Athleta Leggings,3,10.0,0.05067567567567567,2016-01-01,30,Slow Fashion,0,,Bottoms,leggings,,exercise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
