,Item,Wears (10/2020),Wears (9/2020),Wears (8/2020),Wears (7/2020),Wears (6/2020),Wears (5/2020),Wears (4/2020),Wears (3/2020),Wears (2/2020),Wears (1/2020),Wears (12/2019),Wears (11/2019),Wears (10/2019),Wears (9/2019),Wears (8/2019),Wears (7/2019),Wears (6/2019),Wears (5/2019),Wears (4/2019),Wears (3/2019),Wears (2/2019),Wears (1/2019),Total Wears,Date Acquired,Cost,Source,Notes,Repairs/Tailoring,Category,Subcategory - Sleeves,Color,Subcategory - Length,Type
32,Blue Button-Up SL Shirt,1,,1,,1,1,,1,1,1,1,1,2,1,1,1,,3,1,2,,,20,2/28/2019,32,Tradlands/Online,Slow Fashion,,shirt,sleeveless,blue,,Tops
33,Blue Dogs SL Shirt,1,,,1,1,2,1,1,1,1,2,,,,,,,,,,,,11,11/28/2019,0,Nooworks,Gift,,shirt,sleeveless,blue,,Tops
34,Osei-Duro Black Pattern SL Shirt,2,1,3,2,2,2,3,3,2,1,3,1,4,1,,,,,,,,,30,9/12/2019,32,eBay,Secondhand,20,shirt,sleeveless,grey,,Tops
35,Black Tunic SL Shirt,,1,2,,,,1,,1,,1,,,,,,,,1,,1,,8,1/1/2015,15,Nordstrom Rack,,,shirt,sleeveless,black,,Tops
36,Grey Star Wars Van Gogh SL Shirt,,,,1,,1,,,,,1,,,,,,,1,1,1,,,6,1/1/2017,20,Target,,,shirt,sleeveless,grey,,Tops
37,Black Spaghetti Strap SL Shirt,,1,,,,,,,,1,1,,,2,2,,1,,1,,1,,10,8/1/2018,0,Rachel,Hand-me-down,,shirt,sleeveless,black,,Tops
38,Purple workout SL shirt ,1,1,1,1,,,,,,,,,,,,,,,,,,,4,12/2016,20,Nordstrom Rack,,,shirt,sleeveless,pink,,Tops
41,IN STORAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tops
42,Black and Red Floral Sheer LS Shirt,,1,,,,,STORAGE,STORAGE,1,1,1,,,2,2,,1,,1,,1,1,12,8/1/2018,0,Rachel,Hand-me-down,,shirt,long sleeve,,,Tops
43,Vintage Black Tunic LS Shirt,,,,,,,STORAGE,,,1,,,,,,,,,,,,,1,12/26/2019,4,Goodwill,Secondhand,,shirt,long sleeve,,,Tops
44,Yellow and White Striped MS Shirt,,,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,STORAGE,1,1,1,1,1,1,,,1,,2,10,8/1/2017,20,Old Navy,,,shirt,mid sleeve,,,Tops
45,Blue FullSteam SS Shirt,,,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,,,1,,1,1,,1,,,1,,7,12/9/2018,25,In Brewery,,,shirt,short sleeve,,,Tops
46,Cream Calvin Klein SL Shirt,,2,,,,,STORAGE,STORAGE ,STORAGE,3,2,,8,1,1,1,1,2,2,4,,2,31,1/1/2018,48,Nordstrom Rack/eBay,Second one purchased 9/4/19,,shirt,sleeveless,,,Tops
47,Maroon SL Shirt,,2,,,,,STORAGE,STORAGE ,STORAGE,1,4,2,1,,,2,2,2,,,1,1,18,1/1/2018,20,Target,,,shirt,sleeveless,,,Tops
48,Grey Heather Tunic SL Shirt,,,,,,,STORAGE,STORAGE ,STORAGE,1,1,1,1,,,,,,,,,,4,10/8/2019,0,Mom,Hand-me-down,,shirt,sleeveless,,,Tops
49,Black Calvin Klein SL Shirt,1,1,,,,,STORAGE,STORAGE ,STORAGE,STORAGE,2,1,1,1,,,,,,,,,7,9/14/2019,18,eBay,Secondhand,,shirt,sleeveless,,,Tops
51,Curator Rust CL Skirt,,3,,1,1,3,1,1,,1,,,2,,2,5,,,,,,,21,7/18/2019,75,Instagram/Curator SF,Secondhand,7,skirt,,,calf-length maxi,Bottoms
52,Black Midi CL Circle Skirt,,,,,,,1,3,,,1,2,,,,,,,,,,,7,11/12/2019,0,Elegantees ($50),Gift,,skirt,,,calf-length maxi,Bottoms
53,Grey FL Maxi Skirt,1,1,,,,,2,,,1,,,,2,2,3,,,,1,2,,15,1/1/2014,30,Nordstrom Rack,,,skirt,,,full-length maxi,Bottoms
54,Pink and Tan Pattern Maxi Skirt,,,2,,,,,1,,1,,,,,,1,1,,,1,,,7,7/1/2018,0,Gift,Gift,,skirt,,,full-length maxi,Bottoms
55,Light Black Skinny Leg Jeans,1,,,,3,7,2,12,19,1,,,,,,,,,,,,,45,1/29/20,140,Madewell,New,,jeans,,,skinny leg,Bottoms
56,Black Everlane Skinny Leg Jeans,1,,,,,,3,3,5,5,11,5,6,4,,,1,,3,9,15,14,85,1/9/19,74,Everlane/Online,,,jeans,,,skinny leg,Bottoms
57,Beige Pleated Pants,,1,,,,,,,,,,,,,,,,,,,,,1,9/19/2020,15,Vintage,Secondhand,,pants,,,tapered leg,Bottoms
58,Blue Corduroy Pants ,,,,,,2,,1,5,2,,,,,,,,,,,,,10,1/29/2020,68,Madewell,New,,pants,,,wide leg ,Bottoms
59,Blue Pleated Pants ,3,1,5,4,2,8,,,,,,,,,,,,,,,,,23,5/11/2020,95,Big Bud Press,Slow Fashion,,pants,,,straight leg,Bottoms
60,Brown Paperbag Pants,,3,2,2,5,5,,,,,,,,,,,,,,,,,17,5/22/2020,77,Athleta,Slow Fashion,,pants,,,tapered leg,Bottoms
61,Green Wide-leg Pants,,2,8,3,,,STORAGE ,STORAGE ,STORAGE,STORAGE ,,3,2,5,,,,,,,,,23,9/20/2019,30,Poshmark ,Secondhand,,pants,,,wide leg,Bottoms
62,Black Blockprint Wide-leg Pants,3,,,,,,,,,,,,,,,,,,,,,,4,10/22/2020,100,Matter Prints,Slow Fashion,,pants,,,wide leg,Bottoms
63,Light Wash Straight Leg Jeans,8,2,3,5,9,,,,,,,,,,,,,,,,,,29,6/2/2020,175,Decade Studio,Slow Fashion,,jeans,,,straight leg,Bottoms
64,Mom Jeans,,,,,,,,,,,,,,,,,,,,,,,2,11/5/2020,13,Madewell,Fair Trade,,jeans,,,straight leg,Bottoms
65,Dark Wash Skinny Leg Jeans,,,,,,,,,,,,,,,,,,,,,,,0,8/1/2017,30,Old Navy/Online,,,jeans,,,skinny leg,Bottoms
66,Light Wash Skinny Leg Jeans,,,,1,,,,1,,2,1,,,,,,,,,,,,5,8/1/2017,30,Old Navy ,,,jeans,,,skinny leg,Bottoms
67,Black Girlfriend Leggings,4,3,2,,1,,2,,1,4,5,1,,,,,,1,3,1,2,3,36,1/1/2016,107,Online/Three pairs,Slow Fashion,,leggings,,,exercise,Bottoms
68,Grey Mesh Reebok Leggings,,,,,,,1,,,,,1,,,,,,,,1,,,4,1/1/2017,15,Ross/Marshalls,,,leggings,,,exercise,Bottoms
69,Grey Athleta Leggings,,,,,,,,,,,,,,,,,,1,2,,,,3,1/1/2016,30,Athleta,Slow Fashion,,leggings,,,exercise,Bottoms
70,Blue Pattern Niyama Sol Leggings,,,,,,,,,,,,,,,,,,,1,,,,2,1/1/2017,0,Niyama Sol,Gift,,leggings,,,exercise,Bottoms
71,Black and Blue Adidas Leggings,,,,,,,,,,,1,,,,,,,1,1,,,,4,1/1/2017,20,Ross/Marshalls,,,leggings,,,exercise,Bottoms
72,Black Winter Leggings,3,3,,1,,1,4,,8,5,2,,,,,,,,,,,,30,12/5/2019,106,Athleta,Slow Fashion,,leggings,,,exercise,Bottoms
73,Denim Shorts,,,,,,,,,,,,,,,,,,1,,,,,1,1/1/2016,10,Goodwill,Secondhand,,shorts,,,straight leg,Bottoms
75,Grey KL Pencil Skirt,,,,,,,STORAGE,,,,,2,1,3,1,,,2,,,,,9,8/1/2017,20,Old Navy,,,skirt,,,knee-length pencil,Bottoms
